record_id,dataset_id,source_row,row_label,row_data,search_text
record_30413a598861f4b1c046c3c7,dataset_efc0d125c2b2d97c0c92652e,3,合 计,"{""案 件类别"":""合 计"",""立案(起)"":""5069231"",""比 重(%)"":""-""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：合 计；立案(起)：5069231；比 重(%)：-
record_cffe0707caffd3f3e35b9969,dataset_efc0d125c2b2d97c0c92652e,4,杀 人,"{""案 件类别"":""杀 人"",""立案(起)"":""7526"",""比 重(%)"":""0.15""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：杀 人；立案(起)：7526；比 重(%)：0.15
record_303f2d1a85a7f47259be5318,dataset_efc0d125c2b2d97c0c92652e,5,伤 害,"{""案 件类别"":""伤 害"",""立案(起)"":""97390"",""比 重(%)"":""1.92""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：伤 害；立案(起)：97390；比 重(%)：1.92
record_1a0274335f5d1050ac8b60a8,dataset_efc0d125c2b2d97c0c92652e,6,抢 劫,"{""案 件类别"":""抢 劫"",""立案(起)"":""25413"",""比 重(%)"":""0.50""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：抢 劫；立案(起)：25413；比 重(%)：0.50
record_45dd1a9add44fdde8003e63e,dataset_efc0d125c2b2d97c0c92652e,7,强 奸,"{""案 件类别"":""强 奸"",""立案(起)"":""29807"",""比 重(%)"":""0.59""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：强 奸；立案(起)：29807；比 重(%)：0.59
record_4a17e1baa89ef66784d62b1c,dataset_efc0d125c2b2d97c0c92652e,8,拐卖妇女儿童,"{""案 件类别"":""拐卖妇女儿童"",""立案(起)"":""5397"",""比 重(%)"":""0.11""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：拐卖妇女儿童；立案(起)：5397；比 重(%)：0.11
record_02f4ebb5efbf2e98d8a347c7,dataset_efc0d125c2b2d97c0c92652e,9,盗 窃,"{""案 件类别"":""盗 窃"",""立案(起)"":""2786804"",""比 重(%)"":""54.97""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：盗 窃；立案(起)：2786804；比 重(%)：54.97
record_2f8d03859e31891e2202e617,dataset_efc0d125c2b2d97c0c92652e,10,其中:入室盗窃,"{""案 件类别"":""其中:入室盗窃"",""立案(起)"":""701155"",""比 重(%)"":""13.83""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：其中:入室盗窃；立案(起)：701155；比 重(%)：13.83
record_a2788e6ab616e85056894d32,dataset_efc0d125c2b2d97c0c92652e,11,盗窃机动车,"{""案 件类别"":""盗窃机动车"",""立案(起)"":""193125"",""比 重(%)"":""3.81""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：盗窃机动车；立案(起)：193125；比 重(%)：3.81
record_fdaab6d4c518667f702e7e01,dataset_efc0d125c2b2d97c0c92652e,12,财产诈骗,"{""案 件类别"":""财产诈骗"",""立案(起)"":""1156351"",""比 重(%)"":""22.81""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：财产诈骗；立案(起)：1156351；比 重(%)：22.81
record_622fc3531ba9ee17d99dc796,dataset_efc0d125c2b2d97c0c92652e,13,走 私,"{""案 件类别"":""走 私"",""立案(起)"":""3856"",""比 重(%)"":""0.08""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：走 私；立案(起)：3856；比 重(%)：0.08
record_a45b224891f77e41dd9de6a9,dataset_efc0d125c2b2d97c0c92652e,14,伪造、变造货币出售、购买、运输、持有、使用假币,"{""案 件类别"":""伪造、变造货币出售、购买、运输、持有、使用假币"",""立案(起)"":""1216"",""比 重(%)"":""0.02""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：伪造、变造货币出售、购买、运输、持有、使用假币；立案(起)：1216；比 重(%)：0.02
record_9855e645ef54a6785731e24e,dataset_efc0d125c2b2d97c0c92652e,15,其 他,"{""案 件类别"":""其 他"",""立案(起)"":""955471"",""比 重(%)"":""18.85""}",表1 2018年全国公安机关刑事案件分类统计表；统计期间：2018-2018；案 件类别：其 他；立案(起)：955471；比 重(%)：18.85
