dataset_id,yearbook_year,statistical_year_start,statistical_year_end,title,institution,topic,unit,source_file,source_sheet,source_url,source_sha256,source_rows,source_columns,data_start_row,year_quality,extraction_status,notes
dataset_efc0d125c2b2d97c0c92652e,2019,2018,2018,表1 2018年全国公安机关刑事案件分类统计表,公安机关,criminal_cases,,中国法律年鉴2019（来自马克数据网）/表1 2018年全国公安机关刑事案件分类统计表.xls,1,http://www.cnki.net/,ea751aa1655c93388675d2e0d863baf7e65b95636565a837414cd4781853d2d8,17,3,3,explicit_title,facts_extracted,
dataset_0bd4a85bf959134ccfa1d5bb,2019,2018,2018,表1 2018年全国法院审理各类案件情况统计表,人民法院,court_statistics,件,中国法律年鉴2019（来自马克数据网）/表1 2018年全国法院审理各类案件情况统计表.xls,1,http://www.cnki.net/,1cb1f38ece9a5e74ec5bcc6d866e66b2216a8b97d08afc9249fa1cc2f3496baf,4,4,4,explicit_title,facts_extracted,worksheet_title=表1 2018年全国法院审理各类 案件情况统计表
dataset_f4cfc5945e70100ba3e6ea62,2019,2018,2018,表1 中华人民共和国行政区划统计表,其他,other,,中国法律年鉴2019（来自马克数据网）/表1 中华人民共和国行政区划统计表.xls,1-4,http://www.cnki.net/,a2639cc70a3bcc74ac5dc9f2ae48e73e1e65c366d207445d886b47c2da84aa0a,56,10,5,inferred_yearbook_minus_one,facts_extracted,
dataset_b7dd1a1bc7f00cc2bd533c89,2019,2018,2018,表1 全国检察机构统计表,人民检察院,procuratorate,个,中国法律年鉴2019（来自马克数据网）/表1 全国检察机构统计表.xls,1,http://www.cnki.net/,0727006b8e6eae04dbcc97c6ffa664bd2e85801bf6bf3cf603f3fe9b23cd0ce5,36,4,5,inferred_yearbook_minus_one,facts_extracted,
dataset_a825cebf7de973ac5b2ea360,2019,2018,2018,表1 省、自治区、直辖市和兵团受理行政复议案件情况统计表(按数量降序排列),行政复议机关,administrative_reconsideration,,中国法律年鉴2019（来自马克数据网）/表1 省、自治区、直辖市和兵团受理行政复议案件情况统计表(按数量降序排列).xls,1,http://www.cnki.net/,fa516c0921bed38835b035b05625c313d85c104dfdc33895d948d5923d1d75dc,11,8,3,inferred_yearbook_minus_one,facts_extracted,
dataset_34b7d19e2df23f59b55ba720,2019,2018,2018,表10 2018年全国农村最低生活保障标准情况统计表,其他,other,元/人·年、人,中国法律年鉴2019（来自马克数据网）/表10 2018年全国农村最低生活保障标准情况统计表.xls,1,http://www.cnki.net/,362e2c33aabfcd5e13a7ddc94358fb16ad38e94a819bde9a8a5bbd296e739a88,36,3,5,explicit_title,facts_extracted,
dataset_c024832bcb254b0ea5696e67,2019,2018,2018,表10 2018年全国法院非诉保全案件情况统计表,人民法院,court_statistics,件,中国法律年鉴2019（来自马克数据网）/表10 2018年全国法院非诉保全案件情况统计表.xls,1,http://www.cnki.net/,70dc53ae9d1c528327602ae915e7078413ec7db38f5d0288170cea9e89bcfc26,8,4,4,explicit_title,facts_extracted,
dataset_739655be2c91b50fa67d8477,2019,2018,2018,表10 行政应诉案件被告分类情况统计表,行政机关,administrative_litigation_response,,中国法律年鉴2019（来自马克数据网）/表10 行政应诉案件被告分类情况统计表.xls,1,http://www.cnki.net/,5bf55e124daed0356cd896fb83a8316fcba444ade2ec8245fcf97cd696b00109,4,11,3,inferred_yearbook_minus_one,facts_extracted,
dataset_a571384827f1f432ea9146ac,2019,2018,2018,表11 2018年全国法院执行案件情况统计表,人民法院,enforcement,件,中国法律年鉴2019（来自马克数据网）/表11 2018年全国法院执行案件情况统计表.xls,1,http://www.cnki.net/,d207f557022eb1083ccaf4cae34b7b1c6a11b6e8632717fba666b9d0dc95f2bf,12,4,4,explicit_title,facts_extracted,
dataset_dca5b7f2be3bb8ba02dd548c,2019,2018,2018,表11 福利彩票情况统计表,其他,other,,中国法律年鉴2019（来自马克数据网）/表11 福利彩票情况统计表.xls,1,http://www.cnki.net/,6fffd9225b15d4b5be685521e40f6dcdd44b43bd2bd5442162d75d345b90be08,12,5,4,inferred_yearbook_minus_one,facts_extracted,
