fact_id,dataset_id,record_id,yearbook_year,statistical_year_start,statistical_year_end,institution,topic,dimension_label,metric,metric_path,numeric_value,text_value,value_kind,unit,source_row,source_column,quality_flag
fact_7dbc65668d8f1cb664e91564,dataset_efc0d125c2b2d97c0c92652e,record_30413a598861f4b1c046c3c7,2019,2018,2018,公安机关,criminal_cases,合 计,立案(起),立案(起),5069231,5069231,number,起,3,2,auto_extracted
fact_b0322811ce360f5bddabecdf,dataset_efc0d125c2b2d97c0c92652e,record_cffe0707caffd3f3e35b9969,2019,2018,2018,公安机关,criminal_cases,杀 人,立案(起),立案(起),7526,7526,number,起,4,2,auto_extracted
fact_e07f3b2bc625c46cd7d683bb,dataset_efc0d125c2b2d97c0c92652e,record_cffe0707caffd3f3e35b9969,2019,2018,2018,公安机关,criminal_cases,杀 人,比 重(%),比 重(%),0.15,0.15,number,%,4,3,auto_extracted
fact_2bdfbff6200f93b074f784c4,dataset_efc0d125c2b2d97c0c92652e,record_303f2d1a85a7f47259be5318,2019,2018,2018,公安机关,criminal_cases,伤 害,立案(起),立案(起),97390,97390,number,起,5,2,auto_extracted
fact_98cf1bdc73b3e97ed16e7169,dataset_efc0d125c2b2d97c0c92652e,record_303f2d1a85a7f47259be5318,2019,2018,2018,公安机关,criminal_cases,伤 害,比 重(%),比 重(%),1.92,1.92,number,%,5,3,auto_extracted
fact_16bfa1be182ecdcd44685511,dataset_efc0d125c2b2d97c0c92652e,record_1a0274335f5d1050ac8b60a8,2019,2018,2018,公安机关,criminal_cases,抢 劫,立案(起),立案(起),25413,25413,number,起,6,2,auto_extracted
fact_edd4adfd891e9168cd08f19c,dataset_efc0d125c2b2d97c0c92652e,record_1a0274335f5d1050ac8b60a8,2019,2018,2018,公安机关,criminal_cases,抢 劫,比 重(%),比 重(%),0.5,0.50,number,%,6,3,auto_extracted
fact_f35728d736d44eca2009af6e,dataset_efc0d125c2b2d97c0c92652e,record_45dd1a9add44fdde8003e63e,2019,2018,2018,公安机关,criminal_cases,强 奸,立案(起),立案(起),29807,29807,number,起,7,2,auto_extracted
fact_204fe8367948e2aa397a92b6,dataset_efc0d125c2b2d97c0c92652e,record_45dd1a9add44fdde8003e63e,2019,2018,2018,公安机关,criminal_cases,强 奸,比 重(%),比 重(%),0.59,0.59,number,%,7,3,auto_extracted
fact_3efb0b282e437b1570dbbb99,dataset_efc0d125c2b2d97c0c92652e,record_4a17e1baa89ef66784d62b1c,2019,2018,2018,公安机关,criminal_cases,拐卖妇女儿童,立案(起),立案(起),5397,5397,number,起,8,2,auto_extracted
fact_a73ee6b457735e894670ba12,dataset_efc0d125c2b2d97c0c92652e,record_4a17e1baa89ef66784d62b1c,2019,2018,2018,公安机关,criminal_cases,拐卖妇女儿童,比 重(%),比 重(%),0.11,0.11,number,%,8,3,auto_extracted
fact_24cfbb6e06e8b106f674ba8d,dataset_efc0d125c2b2d97c0c92652e,record_02f4ebb5efbf2e98d8a347c7,2019,2018,2018,公安机关,criminal_cases,盗 窃,立案(起),立案(起),2786804,2786804,number,起,9,2,auto_extracted
fact_83553207be5600bb99c74320,dataset_efc0d125c2b2d97c0c92652e,record_02f4ebb5efbf2e98d8a347c7,2019,2018,2018,公安机关,criminal_cases,盗 窃,比 重(%),比 重(%),54.97,54.97,number,%,9,3,auto_extracted
fact_976cec7546eb435be86220ad,dataset_efc0d125c2b2d97c0c92652e,record_2f8d03859e31891e2202e617,2019,2018,2018,公安机关,criminal_cases,其中:入室盗窃,立案(起),立案(起),701155,701155,number,起,10,2,auto_extracted
fact_8456295b074053655c9fca4e,dataset_efc0d125c2b2d97c0c92652e,record_2f8d03859e31891e2202e617,2019,2018,2018,公安机关,criminal_cases,其中:入室盗窃,比 重(%),比 重(%),13.83,13.83,number,%,10,3,auto_extracted
fact_527eb22dd52309813ce4b95c,dataset_efc0d125c2b2d97c0c92652e,record_a2788e6ab616e85056894d32,2019,2018,2018,公安机关,criminal_cases,盗窃机动车,立案(起),立案(起),193125,193125,number,起,11,2,auto_extracted
